Tipo de operación,Producto y/o Servicio ,Subproducto,Causa ,Código de Producto ,Código de Causa ,CONSULTA ,RECLAMACIÓN ,ACLARACIÓN 
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,Información sobre la actualización de historial crediticio ,'025710991158 ,'1200 ,SI ,,
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,Incumplimiento en la entrega de documentos ,'025710991158 ,'0162 ,,SI ,
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,Inconformidad con el cobro de las rentas establecidas ,'025710991158 ,'0523 ,,SI ,SI 
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,Inconformidad con el proveedor de los bienes y/o con las especificaciones y características de estos de acuerdo con lo pactado en el contrato ,'025710991158 ,'0525 ,,SI ,
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,Pago electrónico mal aplicado total o parcialmente ,'025710991158 ,'0533 ,,SI ,SI 
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,Actualización de historial crediticio no realizada ,'025710991158 ,'0730 ,,SI ,
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,"La Institución no entrega la carta liberación de adeudos y/o carta finiquito, factura, garantía, gravamen, 1er testimonio ",'025710991158 ,'0858 ,,SI ,
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,Inconformidad con el cobro de los gastos financieros y/o accesorios establecidos ,'025710991158 ,'0965 ,,SI ,
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,"Inconformidad con el cobro de productos o servicios no contratados por el Usuario, cliente y/o socio ",'025710991158 ,'0967 ,,SI ,
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,"Inconformidad con el cobro de remanentes a favor del Usuario, cliente y/o socio ",'025710991158 ,'0969 ,,SI ,SI 
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,Incumplimiento con los términos del contrato ,'025710991158 ,'1042 ,,SI ,
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,Negativa a cumplir con la conclusión anticipada establecida en el contrato ,'025710991158 ,'1064 ,,SI ,
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,Orientación sobre el funcionamiento de productos y servicios financieros ,'025710991158 ,'1079 ,SI ,,
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,Pago o depósito no aplicado total o parcialmente al producto o servicio ,'025710991158 ,'1081 ,,SI ,SI 
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,"Información para la entrega de la carta liberación de adeudos y/o carta finiquito, factura, garantía, gravamen, 1er testimonio ",'025710991158 ,'1221 ,SI ,,
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,"Disposición de efectivo en ventanilla y/o sucursal no reconocida por el Usuario, cliente y/o socio ",'025710991158 ,'1236 ,,SI ,
Operaciones Activas ,Arrendamiento Financiero ,Crédito Simple (AF) ,"Disposición de efectivo en cajero automático no reconocida por el Usuario, cliente y/o socio ",'025710991158 ,'1237 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Solicitud de estados de cuenta no atendida ,'025711001159 ,'0188 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Actualización de historial crediticio no realizada ,'025711001159 ,'0730 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,No entrega de acuse de recepción de la aclaración ,'025711001159 ,'0770 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Inconformidad con la recepción de pagos ,'025711001159 ,'0353 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Cargo indebido de intereses y gastos de cobranza ,'025711001159 ,'0367 ,,SI ,SI 
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Inconformidad con el cobro de comisiones y/o gastos de investigación ,'025711001159 ,'0413 ,,SI ,SI 
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Inconformidad con el saldo del crédito o del monto de las amortizaciones ,'025711001159 ,'0577 ,,SI ,SI 
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Inconformidad con el monto de los gastos de apertura del crédito ,'025711001159 ,'0582 ,,SI ,SI 
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Crédito aprobado sin la entrega de recursos ,'025711001159 ,'0583 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Inconformidad con el monto de las primas de los seguros por lo que respecta a la amortización ,'025711001159 ,'0611 ,,SI ,SI 
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Negociación de créditos (Orientación) ,'025711001159 ,'0666 ,SI ,,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Consulta de saldos y movimientos no atendida ,'025711001159 ,'0712 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Beneficios no aplicados al crédito ,'025711001159 ,'0732 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,"Cobro de nuevas comisiones sin aviso previo al Usuario, cliente y/o socio ",'025711001159 ,'0734 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Inconformidad con el monto de las primas devengadas del seguro vinculado ,'025711001159 ,'0751 ,,SI ,SI 
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,No entrega de saldo a favor al cancelar el producto ,'025711001159 ,'0758 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Otorgamiento de crédito a menores ,'025711001159 ,'0761 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Cobro de comisión por pago efectuado no aplicado ,'025711001159 ,'0840 ,,SI ,SI 
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Crédito no reconocido en el historial crediticio ,'025711001159 ,'0835 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,"La Institución no entrega la carta liberación de adeudos y/o carta finiquito, factura, garantía, gravamen, 1er testimonio ",'025711001159 ,'0858 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Cobro no reconocido de intereses ordinarios y/o moratorios ,'025711001159 ,'0841 ,,SI ,SI 
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Convenio/reestructura de pago no respetado por la Institución ,'025711001159 ,'0842 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Eliminación de historial crediticio no realizada ,'025711001159 ,'0844 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Inconformidad con el cobro de comisión por pago anticipado no pactada en el contrato ,'025711001159 ,'0851 ,,SI ,SI 
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Inconformidad con el cobro de comisión no reconocida o no pactada en el contrato ,'025711001159 ,'0849 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Inconformidad con el cobro de comisión por cancelación del crédito ,'025711001159 ,'0850 ,,SI ,SI 
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Inconformidad con el cobro de intereses moratorios y accesorios durante el proceso de aclaración ,'025711001159 ,'0853 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Inconformidad con el cobro de intereses no pactados en el contrato ,'025711001159 ,'0854 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Inconformidad con el monto de la prima de los seguros y/o con la forma del pago del mismo ,'025711001159 ,'0855 ,,SI ,SI 
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,"Inconformidad con el cobro de productos o servicios no contratados por el Usuario, cliente y/o socio ",'025711001159 ,'0967 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,"Inconformidad con el cobro de remanentes a favor del Usuario, cliente y/o socio ",'025711001159 ,'0969 ,,SI ,SI 
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Inconformidad con la aclaración de los términos del contrato ,'025711001159 ,'1005 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,"Crédito otorgado sin ser solicitado ni autorizado por el Usuario, cliente y/o socio ",'025711001159 ,'0913 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,"El Usuario, cliente y/o socio no recibió el estado de cuenta con la leyenda de liquidación ",'025711001159 ,'0939 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,"El Usuario, cliente y/o socio no reconoce haber celebrado contrato con la Institución ",'025711001159 ,'0940 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Inconformidad con el cobro de comisión y accesorios por cancelación de crédito en términos de lo dispuesto en el contrato ,'025711001159 ,'0963 ,,SI ,SI 
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Inconformidad con la no aceptación de pago con otro medio diferente al efectivo ,'025711001159 ,'1011 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Incumplimiento con los términos del contrato ,'025711001159 ,'1042 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Negativa a cumplir con la conclusión anticipada establecida en el contrato ,'025711001159 ,'1064 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Orientación sobre el funcionamiento de productos y servicios financieros ,'025711001159 ,'1079 ,SI ,,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Pago o depósito no aplicado total o parcialmente al producto o servicio ,'025711001159 ,'1081 ,,SI ,SI 
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Información sobre la actualización de historial crediticio ,'025711001159 ,'1200 ,SI ,,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,"Información para la entrega de la carta liberación de adeudos y/o carta finiquito, factura, garantía, gravamen, 1er testimonio ",'025711001159 ,'1221 ,SI ,,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,"Modificación de comisiones sin aviso previo al Usuario, cliente y/o socio ",'025711001159 ,'1058 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,"Modificación de tasa contractual sin aviso previo al Usuario, cliente y/o socio ",'025711001159 ,'1060 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,No entrega de tabla de amortización al momento de formalizar el contrato ,'025711001159 ,'1074 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,"No envío de estados de cuenta al domicilio del Usuario, cliente y/o socio ",'025711001159 ,'1075 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,"Promociones, meses sin intereses, sorteos o premios no entregados o aplicados al Usuario, cliente y/o socio ",'025711001159 ,'1086 ,,SI ,SI 
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Solicitud de cancelación de producto o servicio no atendida y/o no aplicada ,'025711001159 ,'1101 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Consulta del monto de las primas de los seguros por lo que respecta a la amortización ,'025711001159 ,'1204 ,SI ,,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Solicitud de estados de cuenta ,'025711001159 ,'1207 ,SI ,,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Información del cobro de intereses ordinarios y/o moratorios ,'025711001159 ,'1211 ,SI ,,
Operaciones Activas ,Crédito ABCD ,Crédito Simple (ABCD) ,Información para la cancelación de producto o servicio ,'025711001159 ,'1217 ,SI ,,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Solicitud de estados de cuenta no atendida ,'025711001160 ,'0188 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Inconformidad con la recepción de pagos ,'025711001160 ,'0353 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Cargo indebido de intereses y gastos de cobranza ,'025711001160 ,'0367 ,,SI ,SI 
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Inconformidad con el cobro de comisiones y/o gastos de investigación ,'025711001160 ,'0413 ,,SI ,SI 
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Inconformidad con el saldo del crédito o del monto de las amortizaciones ,'025711001160 ,'0577 ,,SI ,SI 
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Inconformidad con el monto de los gastos de apertura del crédito ,'025711001160 ,'0582 ,,SI ,SI 
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Crédito aprobado sin la entrega de recursos ,'025711001160 ,'0583 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Inconformidad con el monto de las primas de los seguros por lo que respecta a la amortización ,'025711001160 ,'0611 ,,SI ,SI 
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Negociación de créditos (Orientación) ,'025711001160 ,'0666 ,SI ,,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Consulta de saldos y movimientos no atendida ,'025711001160 ,'0712 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Actualización de historial crediticio no realizada ,'025711001160 ,'0730 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Beneficios no aplicados al crédito ,'025711001160 ,'0732 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,"Cobro de nuevas comisiones sin aviso previo al Usuario, cliente y/o socio ",'025711001160 ,'0734 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Inconformidad con el monto de las primas devengadas del seguro vinculado ,'025711001160 ,'0751 ,,SI ,SI 
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,No entrega de saldo a favor al cancelar el producto ,'025711001160 ,'0758 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Otorgamiento de crédito a menores ,'025711001160 ,'0761 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,No entrega de acuse de recepción de la aclaración ,'025711001160 ,'0770 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Crédito no reconocido en el historial crediticio ,'025711001160 ,'0835 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Cobro de comisión por pago efectuado no aplicado ,'025711001160 ,'0840 ,,SI ,SI 
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Cobro no reconocido de intereses ordinarios y/o moratorios ,'025711001160 ,'0841 ,,SI ,SI 
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Convenio/reestructura de pago no respetado por la Institución ,'025711001160 ,'0842 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Eliminación de historial crediticio no realizada ,'025711001160 ,'0844 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Inconformidad con el cobro de comisión no reconocida o no pactada en el contrato ,'025711001160 ,'0849 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Inconformidad con el cobro de comisión por cancelación del crédito ,'025711001160 ,'0850 ,,SI ,SI 
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Inconformidad con el cobro de comisión por pago anticipado no pactada en el contrato ,'025711001160 ,'0851 ,,SI ,SI 
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Inconformidad con el cobro de intereses moratorios y accesorios durante el proceso de aclaración ,'025711001160 ,'0853 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Inconformidad con el cobro de intereses no pactados en el contrato ,'025711001160 ,'0854 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Inconformidad con el monto de la prima de los seguros y/o con la forma del pago del mismo ,'025711001160 ,'0855 ,,SI ,SI 
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,"La Institución no entrega la carta liberación de adeudos y/o carta finiquito, factura, garantía, gravamen, 1er testimonio ",'025711001160 ,'0858 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,"Crédito otorgado sin ser solicitado ni autorizado por el Usuario, cliente y/o socio ",'025711001160 ,'0913 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,"El Usuario, cliente y/o socio no recibió el estado de cuenta con la leyenda de liquidación ",'025711001160 ,'0939 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,"El Usuario, cliente y/o socio no reconoce haber celebrado contrato con la Institución ",'025711001160 ,'0940 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Inconformidad con el cobro de comisión y accesorios por cancelación de crédito en términos de lo dispuesto en el contrato ,'025711001160 ,'0963 ,,SI ,SI 
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,"Inconformidad con el cobro de productos o servicios no contratados por el Usuario, cliente y/o socio ",'025711001160 ,'0967 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,"Inconformidad con el cobro de remanentes a favor del Usuario, cliente y/o socio ",'025711001160 ,'0969 ,,SI ,SI 
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Inconformidad con la aclaración de los términos del contrato ,'025711001160 ,'1005 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Inconformidad con la no aceptación de pago con otro medio diferente al efectivo ,'025711001160 ,'1011 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Incumplimiento con los términos del contrato ,'025711001160 ,'1042 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,"Modificación de comisiones sin aviso previo al Usuario, cliente y/o socio ",'025711001160 ,'1058 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,"Modificación de tasa contractual sin aviso previo al Usuario, cliente y/o socio ",'025711001160 ,'1060 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Negativa a cumplir con la conclusión anticipada establecida en el contrato ,'025711001160 ,'1064 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,No entrega de tabla de amortización al momento de formalizar el contrato ,'025711001160 ,'1074 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,"No envío de estados de cuenta al domicilio del Usuario, cliente y/o socio ",'025711001160 ,'1075 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Orientación sobre el funcionamiento de productos y servicios financieros ,'025711001160 ,'1079 ,SI ,,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Pago o depósito no aplicado total o parcialmente al producto o servicio ,'025711001160 ,'1081 ,,SI ,SI 
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,"Promociones, meses sin intereses, sorteos o premios no entregados o aplicados al Usuario, cliente y/o socio ",'025711001160 ,'1086 ,,SI ,SI 
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Solicitud de cancelación de producto o servicio no atendida y/o no aplicada ,'025711001160 ,'1101 ,,SI ,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Información sobre la actualización de historial crediticio ,'025711001160 ,'1200 ,SI ,,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Consulta del monto de las primas de los seguros por lo que respecta a la amortización ,'025711001160 ,'1204 ,SI ,,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Solicitud de estados de cuenta ,'025711001160 ,'1207 ,SI ,,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Información del cobro de intereses ordinarios y/o moratorios ,'025711001160 ,'1211 ,SI ,,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,Información para la cancelación de producto o servicio ,'025711001160 ,'1217 ,SI ,,
Operaciones Activas ,Crédito ABCD ,Crédito Cuenta Corriente (ABCD) ,"Información para la entrega de la carta liberación de adeudos y/o carta finiquito, factura, garantía, gravamen, 1er testimonio ",'025711001160 ,'1221 ,SI ,,
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Solicitud de estados de cuenta no atendida ,'025711011161 ,'0188 ,,SI ,
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Negativa al otorgamiento de apoyo (programas de apoyo) ,'025711011161 ,'0197 ,,SI ,
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Inconformidad con la recepción de pagos ,'025711011161 ,'0353 ,,SI ,
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Inconformidad con el cobro y/o con la prima del seguro ,'025711011161 ,'0411 ,,SI ,SI 
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Inconformidad con el cobro de comisiones y/o gastos de investigación ,'025711011161 ,'0413 ,,SI ,SI 
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Inconformidad con el saldo del crédito o del monto de las amortizaciones ,'025711011161 ,'0577 ,,SI ,SI 
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Inconformidad con el monto de los gastos de apertura del crédito ,'025711011161 ,'0582 ,,SI ,SI 
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Crédito aprobado sin la entrega de recursos ,'025711011161 ,'0583 ,,SI ,
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Inconformidad con el monto de las primas de los seguros por lo que respecta a la amortización ,'025711011161 ,'0611 ,,SI ,SI 
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Inconformidad respecto del saldo a favor después del siniestro ,'025711011161 ,'0612 ,,SI ,SI 
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Negociación de créditos (Orientación) ,'025711011161 ,'0666 ,SI ,,
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Consulta de saldos y movimientos no atendida ,'025711011161 ,'0712 ,,SI ,
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Actualización de historial crediticio no realizada ,'025711011161 ,'0730 ,,SI ,
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Beneficios no aplicados al crédito ,'025711011161 ,'0732 ,,SI ,
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Inconformidad con el monto de las primas devengadas del seguro vinculado ,'025711011161 ,'0751 ,,SI ,SI 
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,No entrega de saldo a favor al cancelar el producto ,'025711011161 ,'0758 ,,SI ,
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Otorgamiento de crédito a menores ,'025711011161 ,'0761 ,,SI ,
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,No entrega de acuse de recepción de la aclaración ,'025711011161 ,'0770 ,,SI ,
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Crédito no reconocido en el historial crediticio ,'025711011161 ,'0835 ,,SI ,
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Cobro de comisión por pago efectuado no aplicado ,'025711011161 ,'0840 ,,SI ,SI 
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Cobro no reconocido de intereses ordinarios y/o moratorios ,'025711011161 ,'0841 ,,SI ,SI 
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Convenio/reestructura de pago no respetado por la Institución ,'025711011161 ,'0842 ,,SI ,
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Eliminación de historial crediticio no realizada ,'025711011161 ,'0844 ,,SI ,
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Inconformidad con el cobro de comisión no reconocida o no pactada en el contrato ,'025711011161 ,'0849 ,,SI ,
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Inconformidad con el cobro de comisión por cancelación del crédito ,'025711011161 ,'0850 ,,SI ,SI 
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Inconformidad con el cobro de comisión por pago anticipado no pactada en el contrato ,'025711011161 ,'0851 ,,SI ,SI 
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Inconformidad con el cobro de intereses moratorios y accesorios durante el proceso de aclaración ,'025711011161 ,'0853 ,,SI ,
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Inconformidad con el cobro de intereses no pactados en el contrato ,'025711011161 ,'0854 ,,SI ,
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Inconformidad con el monto de la prima de los seguros y/o con la forma del pago del mismo ,'025711011161 ,'0855 ,,SI ,SI 
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Inconformidad por cambio de Aseguradora ,'025711011161 ,'0857 ,,SI ,
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,"La Institución no entrega la carta liberación de adeudos y/o carta finiquito, factura, garantía, gravamen, 1er testimonio ",'025711011161 ,'0858 ,,SI ,
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,"Crédito otorgado sin ser solicitado ni autorizado por el Usuario, cliente y/o socio ",'025711011161 ,'0913 ,,SI ,
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,"El Usuario, cliente y/o socio no recibió el estado de cuenta con la leyenda de liquidación ",'025711011161 ,'0939 ,,SI ,
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Inconformidad con el cobro de comisión y accesorios por cancelación de crédito en términos de lo dispuesto en el contrato ,'025711011161 ,'0963 ,,SI ,SI 
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,"Inconformidad con el cobro de productos o servicios no contratados por el Usuario, cliente y/o socio ",'025711011161 ,'0967 ,,SI ,
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,"Inconformidad con el cobro de remanentes a favor del Usuario, cliente y/o socio ",'025711011161 ,'0969 ,,SI ,SI 
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Inconformidad con la aclaración de los términos del contrato ,'025711011161 ,'1005 ,,SI ,
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Inconformidad con la no aceptación de pago con otro medio diferente al efectivo ,'025711011161 ,'1011 ,,SI ,
Operaciones Activas ,Crédito al auto ,Crédito Simple (Auto) ,Incumplimiento con los términos del contrato ,'025711011161 ,'1042 ,,SI ,
